File,Type,Semester,Moed,Questions,Solution status,Duplicate of,Inspection status,Spring 2026 status
ed2dc23f (תרגול 7),Current tutorial (T7),Spring 2026,,Q3-Q5 numbered,Worked in-text,,Read,Examinable
82c0ba5e (פתרון מערך תרגול 8),Current tutorial (T8),"Spring 2026 (אביב תשפ""ו)",,Q1-Q4,Full solutions,,Read,Examinable
4924c945 (פתרון תרגול 9),Current tutorial (T9),"Spring 2026 (אביב תשפ""ו)",,Q1-Q4,Full solutions,,Read,Examinable
e8f2b111 (פתרון תרגיל כיתה 10),Current tutorial (T10),"Winter 2024 (חורף תשפ""ד) - reused",,Q1-Q4,Full solutions,,"Read. NOTE: header says תשפ""ד not תשפ""ו - reused material","Examinable — but reused from חורף תשפ""ד; confirm scope with the lecturer"
6d032398 (פתרון תרגיל כיתה 11),Current tutorial (T11),"Spring 2026 (אביב תשפ""ו)",,Q1-Q6,Full solutions,,Read,Examinable
409f3595 (תרגול 12 - אי-שוויונות),Current tutorial (T12),Spring 2026,,Q1-Q4,Worked in-text,,Read,Examinable — Markov and Chebyshev only; Chernoff is excluded
0952a813 (Exam 2017 spring Moed B),Previous exam (Louidor),Spring 2017,B,16 multiple-choice,No solution in folder,,Read (stems). Date 03.10.2017,"Mixed question — Q1,Q2,Q3,Q4,Q6 examinable; Q5 (Poisson splitting) EXCLUDED; Q7 (random sum) partially relevant; Q13 (bivariate normal) EXCLUDED; Q14,Q15 examinable; MGF item EXCLUDED"
8f9b5b25,DUPLICATE,Spring 2017,B,,,0952a813,Byte-different re-encode; text identical,Duplicate — see 0952a813
8598bddd (בחינה בהסתברות מ' - פתרון),Exam solution (orphan),"~2017/2018 (Louidor as פרופ""""מ)",unknown,"Q1,3,4,5,6,8,9,10,12,14,15,16",Full solutions; exam paper not in folder,,"Read (stems). Date field OCR-damaged (""817.170.81"")","Mixed question — Q1,Q3,Q5,Q6,Q10,Q12,Q14,Q15 examinable; Q4 (Poisson mixture) requires inspection; Q8 (pattern waiting) examinable; Q9 (MGF) EXCLUDED; Q16 (multivariate normal) EXCLUDED"
a2729b6e,DUPLICATE,,,,,8598bddd,Text identical,Duplicate — see 8598bddd
46f949ce (Exam Winter 2018 Moed A טור א),Previous exam (Louidor),Winter 2018,A,16 multiple-choice,No solution in folder,,Read (stems). Date 8/2/2018,"Mixed question — Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q10,Q13,Q16 examinable; Q2 requires inspection (possible bivariate normal); Q9 examinable (Poisson dist + CLT); Q12 requires inspection (competing exponentials vs. arrival process); Q14,Q15 (Gamma-Poisson conjugacy) EXCLUDED"
f977101e,DUPLICATE,Winter 2018,A,,,46f949ce,Text identical,Duplicate — see 46f949ce
137de7cb (Exam Winter 2018 Moed B),Previous exam (Louidor),Winter 2018,B,16 multiple-choice,No solution in folder,,Read (stems). Date 8/3/2018,"Mixed question — Q1,Q2,Q3,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14 examinable; Q4 examinable; Q15,Q16 examinable (geometric probability)"
1823169a,DUPLICATE,Winter 2018,B,,,137de7cb,Text identical,Duplicate — see 137de7cb
14f2ebe0 (Exam Spring 2019 Moed A),Previous exam (Louidor),Spring 2019,A,16 multiple-choice,No solution in folder,,Read (stems). Date 30/7/2019,"Mixed question — Q1,Q2,Q5,Q9,Q11,Q13,Q15 examinable; Q3 (arrival process) EXCLUDED; Q7 partially relevant (random sum); Q10 (MGF) EXCLUDED"
8f7e0f36,DUPLICATE,Spring 2019,A,,,14f2ebe0,Text identical,Duplicate — see 14f2ebe0
6cdb0521 (Exam Spring 2019 Moed B),Previous exam (Louidor),Spring 2019,B,16 multiple-choice,No solution in folder,,Read (stems). Date 13/9/2019,"Mixed question — Q1,Q3,Q4,Q6,Q8,Q9,Q11,Q15 examinable; Q5 (MGF) EXCLUDED; Q13 (Poisson process conditional uniformity) EXCLUDED"
83cd9a96,DUPLICATE,Spring 2019,B,,,6cdb0521,Text identical,Duplicate — see 6cdb0521
434b3aac (2020 exam 1 - partial solution),Exam solution,"Spring 2020 (תש""פ)",A,"Q3,4,5,6,7,8,10,12,13,14,16 present; Q1,2,9,11,15 ABSENT",Partial official solutions; exam paper MISSING,,Read. CONFIRMS prior finding that 2020spA is partly missing,"Mixed question — Q3,Q5,Q6,Q7,Q8,Q12,Q13,Q14,Q16 examinable; Q4 requires inspection (Poisson approximation vs. process); Q10 (MGF) EXCLUDED"
f2ee80d6,DUPLICATE,Spring 2020,A,,,434b3aac,Text identical,Duplicate — see 434b3aac
390bc55f (בחינה 2 - פתרון),Exam solution,"Spring 2020 (תש""פ)",B,Q1-Q8 (incl. ת' variants),Full official solutions; exam paper MISSING,,"Read. Parameterised exam (a,b,c placeholders)","Mixed question — Q2,Q2',Q3,Q4,Q4',Q5,Q6,Q7 examinable; Q1 examinable (geometric + smoothing); Q1' (MGF) EXCLUDED"
3b99be96,DUPLICATE,Spring 2020,B,,,390bc55f,Text identical,Duplicate — see 390bc55f
c2adcfa6 (פתרון בחינה 3),Exam solution,"Spring 2020 (תש""פ)",C,"Q1,2,4,5,6,7,8",Full official solutions; exam paper MISSING,,Read. Parameterised exam,"Mixed question — Q1,Q2,Q5,Q6 examinable; Q4 partially relevant (compound sum, Poisson-count framing); Q7 (bivariate normal) EXCLUDED; Q8 requires inspection (estimation/simulation framing)"
f8cb0860,DUPLICATE,Spring 2020,C,,,c2adcfa6,Text identical,Duplicate — see c2adcfa6
6939831e (Exam Spring 2021 Moed A),Previous exam (Louidor),"Spring 2021 (אביב תשפ""א)",A,"Q1-Q4 multiple-choice + Q5,Q6,Q7 open (3-4 subparts each)",Solutions in separate file bf8f753a,,Fully read. Date 25.07.2021. HYBRID format,"Mixed question — Q1,Q2,Q3,Q5,Q6,Q7 examinable; Q4 (MGF) EXCLUDED"
bf8f753a (Solution to Spring 2021 Moed A),Solution,Spring 2021,A,Q1-Q7,Full official solutions,,Fully read. Matched to 6939831e by Q1 (4-component parallel system) and Q5-Q7,"Mixed question — solutions to 6939831e; Q4 solution (MGF) EXCLUDED, rest examinable"
263e684c (Exam+solution Spring 2021 Moed B),Previous exam + solutions,"Spring 2021 (אביב תשפ""א)",B,"Q1-Q4 multiple-choice + Q5,Q6,Q7 open",Full official solutions INCLUDED,,Fully read. Date 07.10.2021. CORRECTION: prior session's claim that Q5 lacks a solution is NOT confirmed - Q5 a/b/c all solved (pp.3-5),"Mixed question — Q1,Q2,Q3,Q5,Q6,Q7 examinable; Q4 (Poisson splitting) EXCLUDED except route ב' (condition on N, multinomial) which is partially relevant"
417d6fcd,DUPLICATE,Spring 2021,B,,,263e684c,Text identical,Duplicate — see 263e684c
f80d3d50 (Exam 2022 special moed),Previous exam (Arieli + Louidor),"Spring 2022 (סמסטר ב' תשפ""ב)",C (special),16 multiple-choice,Handwritten answer key ae6840b9,,Read. Date 29/11/22. Pages 4-9 have broken font encoding - recovered by OCR at 200dpi,"Excluded format — 16 multiple-choice. Louidor confirms MC is used only for the special moed, not Moed A/B. Retain as a construction bank only"
ae6840b9 (handwritten answer key),Solution (handwritten scan),Spring 2022,C,answers to Q1-Q16,Handwritten; no text layer,,Page images inspected. CONFIRMS prior finding: matches f80d3d50 Q1 (Cov of indicators for 6 coin tosses = 0.012),Excluded format — answer key to f80d3d50
6637e9a6 (פתרון מבחן מועד א' - הסתברות מ'+ת'),Exam solution (orphan),unknown (combined M+T course),A,"ת' Q1-Q5 + מ' Q3,Q4",Full official solutions; exam paper NOT in folder,,Read (stems). Letter-spaced Hebrew required de-spacing,"Mixed question — ת'Q1,ת'Q2,ת'Q3,ת'Q4 and מ'Q3 examinable; ת'Q5 (uniform prior then repeated Bernoulli = Beta posterior) EXCLUDED; מ'Q4 requires inspection"
6e5fbd41,DUPLICATE,,,,,6637e9a6,Text identical,Duplicate — see 6637e9a6
769b5b18 (Exam+solution Spring 2023 Moed A),Previous exam + solutions,"Spring 2023 (אביב תשפ""ג)",A,4 open questions x 5 subparts (20 subparts),Full official solutions INCLUDED,,Fully read. Date 26/7/2023,"Mixed question — Q1 (a-e), Q2 (a-e), Q3 (a-e) fully examinable; Q4 (a),(b),(c),(e) examinable, Q4(d) (joint/bivariate normal) EXCLUDED"
a9a68452,DUPLICATE,Spring 2023,A,,,769b5b18,Text identical,Duplicate — see 769b5b18
a1e1cda2 (Exam+solution Spring 2023 Moed B),Previous exam + solutions,"Spring 2023 (אביב תשפ""ג)",B,4 open questions x 5 subparts,Full official solutions INCLUDED,,Fully read. Date 26/12/2023,"Examinable — Q1,Q2,Q3,Q4 all five subparts each. No excluded content found. BEST FULL MOCK PAPER"
dc29fddc,DUPLICATE,Spring 2023,B,,,a1e1cda2,Text identical,Duplicate — see a1e1cda2
df62117f (Exam+solution Winter 2024 Moed A),Previous exam + solutions,"Winter 2024 (חורף תשפ""ד)",A,4 open questions x 5 subparts,"Official typed solutions for Q1,Q2,Q4; Q3 solution is a handwritten scan",,Fully read. Date 16/5/2024. MOST RECENT MOED A,"Mixed question — Q1 (a-e), Q2 (a-e), Q3 (a-e) examinable; Q4(a) partially relevant (random sum / Wald, isolable); Q4(b),(c),(d),(e) (Poisson splitting over regions) EXCLUDED"
83f1db1c (Exam+solution Winter 2024 Moed B),Previous exam + solutions,"Winter 2024 (חורף תשפ""ד)",B,4 open questions x 5 subparts,"Official typed solutions Q1,Q3,Q4; Q2 solution is a handwritten scan",,Fully read. Date 7/6/2024. MOST RECENT EXAM IN FOLDER,"Mixed question — Q1 (a-e), Q2 (a-e), Q3 (a-e) fully examinable; Q4 (a-e) (Poisson points in the unit disc) EXCLUDED IN FULL"
