Skill,Diagnostic question,What successful understanding looks like,Warning signs,Repair source
F18 + F19 Support and double-integral limits,"2020spA-sol Q12 (434b3aac): P(2X < Y) for f = c e^{-(ax+by)} on x,y > 0",Your first action is a labelled sketch showing the line y = 2x and the first quadrant. Your inner limit depends on the outer variable.,You integrate before sketching; both limits are constants; you cannot say which variable you fixed first,T10 (e8f2b111); 07 Procedure D
F20 + F22 Marginals and pattern-matching a joint density,2020spB-sol Q2 (390bc55f): Var(aX) from f = 4e^{-2x} on 0 < x < y < inf,"You recognise Gamma(2,2) x Uniform(0,x) inside the joint density and read off the answer; you can also produce the brute-force marginal as a check",You integrate x from 0 to infinity; you do not notice the Gamma kernel; the two routes disagree,"T10, T11; 03 Family D; 07 Procedure D step 2"
F23 Testing independence,2021spA Q5a (6939831e / bf8f753a): prove that X_2 and X_3 - X_2 are independent,"You verify p(x,y) = p(x)p(y) for all pairs, or give a clean structural argument. You never argue from Cov = 0.",You conclude independence because the covariance vanishes; you check one pair and generalise; you ignore a non-rectangular support,"T5, T10; Raviv §8, §16"
F27 Covariance by shared components,"2023spA Q4c (769b5b18): Cov(X_i, X_j) for two leaf weights at distance d","You write both weights as explicit sums of W's, apply bilinearity, note Cov(W_a,W_b)=0 unless a=b, and convert distance d into a shared-edge count (3 - d/2)",You compute E(X_i X_j) by integration; you cannot translate the graph distance into a shared-edge count; your |rho| exceeds 1,T7; 07 Procedure K. NOTE: stop after this subpart — Q4d (the 2x2 joint normal) is excluded
F26 Sums of independent normals (univariate),"2023spA Q4a,b,e (769b5b18): mean, variance and distribution of a leaf weight, then of the total over all leaves","You state that a sum of independent normals is normal, add the means and the VARIANCES, and for (e) you count how many paths each edge belongs to before summing",You add standard deviations; you miscount the edge multiplicities in (e); you carry the normal conclusion over to exponential weights,T9; Raviv §12. NOTE: do NOT extend to a joint/bivariate normal — that is excluded
F35 + F36 Chebyshev and convergence in probability,2023spA Q2e (769b5b18): show the proportion converges in probability to L,"You insert E(X_n), apply the triangle inequality, use the union bound, then Chebyshev on the random part and a deterministic limit on the other. You can reproduce the proof from memory.",You apply Chebyshev directly to |X_n - L|; you cannot explain why the extra step is needed; you invoke the strong law (excluded),T12 (409f3595); 07 Procedure H
F34 Markov on a constructed variable,2024wA Q2e (df62117f): find C_n with P(|X - E X| > x) <= C_n / x^n,"You raise both sides to the power n to create a non-negative variable, apply Markov, and recognise that E|X - EX|^n = sigma^n E|Z|^n from subpart (d)",You apply Markov to X itself; you miss the link to the previous subpart; you cannot make the variable non-negative,T12; 07 Procedure H; then 2021spB Q6d
F37 CLT numeric approximation,"2021spB Q6b (263e684c): P(|M - mu| <= 0.03) for the mean of 100 uniforms on [-1,1]","You compute mu and sigma^2 from the distribution table, standardise with sigma*sqrt(n), and read 2*Phi(c) - 1","You divide by sigma instead of sigma*sqrt(n); you use 1/12 instead of 1/3 for U[-1,1]; your answer is outside [0,1]",T12; distribution sheet cbdd9faa; then 2018wA Q9
F29 Conditional variance and the EVE law,"Construct one: for 2023spB Q4, compute Var(Y_1) two ways — directly from the N(0,2) marginal in (b), and via Var(Y_1) = E(Var(Y_1|X)) + Var(E(Y_1|X)) = 1 + 1",Both routes give 2. You can state which term is the 'within' variability and which is the 'between'.,You drop the second term and get 1; you compute Var(E(Y_1|X)) as E(Var(...)); you cannot state the EVE law without looking it up,"T7 (ed2dc23f); Raviv §10.5. NOTE: no exam in the bank uses this as a main step, which RAISES its expected value now that MGFs and Poisson processes are excluded"
F13 Memorylessness,2021spB Q1 (263e684c): E(X | X >= 5) for a geometric X,You write E(X | X >= 5) = 4 + E(X) and can say why the shift is 4 and not 5,You write 5 + E(X); you sum a series instead; you apply memorylessness to a non-memoryless law,"T3 (6195075d), T9; Raviv §4"
F39 Recursive probability,2023spA Q1e (769b5b18): P(a winner exists) with 3 players,"You condition on the first round, identify the branch that returns to the original problem, write P(A) = (1/8)P(A) + ... and solve. You reuse the n=2 answer from (d).",You sum an infinite series over rounds; you miss the all-tails absorbing branch; you re-derive the n=2 case,T2 (c7451484); 07 Procedure I
"F09 + F10 Changing urn, symmetry, tagged-object trick",2024wB Q3d (83f1db1c): P(the k-th ball drawn is white),"You reframe: number the balls, ask whether one specific ball was ever drawn in the first k-1 steps, and get 1 - ((n-1)/n)^{k-1} in one line",You try to track the full process; you apply symmetry where the process is not exchangeable; you stall on an unevaluable sum,T2; 03 Family J; 07 Procedure J step 3
F42 Reusing an earlier subpart,"2024wA Q2e (df62117f), after having done Q2d",Before starting (a) you have read all five subparts and identified what (e) will need. You cite (d) explicitly rather than re-deriving.,You solve subparts in isolation; you re-derive a quantity you already have; you run out of time on (e),07 Procedure 0; then re-run 2023spA Q2 and 2023spB Q4 watching for the chain
F45 Level of justification,"Any subpart of 2023spB (a1e1cda2), then compare your write-up to the official solution line by line","Every step names its tool ('by linearity of expectation', 'by the smoothing formula', 'from conditional independence'). Sums and integrals are evaluated.",Your page is algebra with no words; you leave a sum unevaluated when the question did not permit it; you cannot name the theorem behind a step,2023spB instruction 12; Raviv's proof style throughout
"F02 Equally-likely modelling, ordered vs unordered","2023spB Q1a,b (a1e1cda2): probability all rooks are in the first row","You state Omega explicitly, keep numerator and denominator in one convention, and can convert between them by multiplying both by n!","Your numerator counts arrangements while your denominator counts sets; you cannot state Omega; your answer is outside [0,1]","T0 (49d5c3cf), T1 (832a69d8); 2024wA Q1a,b for the three-route comparison"
F30 Wald / random sums,2024wA Q4a (df62117f) — SUBPART (a) ONLY: E(X_1 + ... + X_N),"You state Wald, check that N is independent of the X_i, and can also produce the tower-law derivation E(E(S|N)) = E(N/2)",You apply Wald when N depends on the X_i; you use it for the variance; you cannot produce the alternative route,T11; Raviv §17.3; syllabus item 18. DO NOT continue into Q4b-e — those are excluded Poisson-process subparts
F03 + F04 Complement and inclusion-exclusion,2024wA Q1b (df62117f): probability the matrix contains a row of zeros,"You compute the complement with the multiplication rule, get 1 - (2^n - k)/2^n = k/2^n, and can cross-check with a hypergeometric",You attack the union directly; you lose an alternating sign; you cannot describe the complement in words,T1; Raviv §1.2
F16 Normalisation constant,"2020spA-sol Q12 (434b3aac): find c for f = c e^{-(ax+by)} on x, y > 0",You integrate over the correct support and get c = ab; you verify by checking a marginal,You integrate over the wrong region; you forget non-negativity; your marginal does not integrate to 1,"T8, T10; 07 Procedure D step 1"
F24 Non-monotone transformation,2018wA Q7 (46f949ce): Y = X^3 for X >= 0 and X^2 for X < 0,"You split the domain at 0, handle each branch separately, add the density contributions, and use |dx/dy| on each branch",You apply a single change of variables across the whole domain; you drop the absolute value; your density is negative somewhere,"T9, T11; Raviv §5; 07 Procedure E step 4. NOTE: no official solution in the folder — check your own work"
F11 + F44 Geometric recognition and series manipulation,"2023spA Q1c,d (769b5b18): E(number of rounds) and P(a winner exists) for n=2","You identify Geo(3/4) by asking 'what is the probability the game continues?', and evaluate the series with the correct starting index",You count rounds off by one; your series starts at the wrong index; you cannot identify what 'failure' means here,"T3; Raviv §1.4, §3"
F12 Hypergeometric recognition,2023spB Q3b (a1e1cda2): probability North holds exactly 5 hearts,"You name HG(52,13,13) with the parameters correctly assigned, and can also write the direct equally-likely count",You use a binomial because you forgot sampling is without replacement; you mislabel which parameter is which,T3 (6195075d); distribution sheet cbdd9faa
