Functionality,Topic,Recognition clues,Required output,Main method,Prerequisites,Common traps,Current-course sources,Exam sources,Spring 2026 priority,Spring 2026 status,Revision note
"F33 Maxima, minima and order statistics via the CDF",Order statistics,'the largest/smallest of n independent…'; X_(k),P(max ≤ x) = F(x)^n; P(min > x) = (1-F(x))^n; then the joint or the PMF,"Always go through the CDF, never guess the density","F17, F23",Using max/min formulas without independence; forgetting P(min>y) needs the strict complement; sign slips when converting a joint CDF into a joint PMF,T9; Raviv §5 (technique appears; no dedicated section),"2024wB Q1 (full 5-part development of max and min of n dice, ending in the joint PMF); 2019spA Q9,Q11; 2018wA Q4,Q5; 2020spB-sol Q3; 2022spC Q8",Critical,Examinable,
F34 Markov's inequality,Inequalities,'bound from above the probability that…'; only the mean is known,P(X ≥ a) ≤ E(X)/a for X ≥ 0,Make the RV non-negative first (often by taking |·|^n),F14,Applying it to an RV that can be negative; a bound bigger than 1 (useless but not wrong),T12 (Markov ×4); Raviv §9.5,2024wA Q2e (P(|X-E X|>x) ≤ C_n/x^n via Markov on |X-EX|^n - EXCELLENT); 2021spB Q6d,High,Examinable,
F35 Chebyshev's inequality,Inequalities,'bound the probability of deviating from the mean'; variance is known or computable,P(|X-μ|≥ε) ≤ σ²/ε²,"Compute Var first, then substitute",F27,Using ε as a fraction rather than an absolute deviation; forgetting the two-sided factor,T12 (Chebyshev ×11 - the most drilled item in T12); Raviv §10.3,2023spB Q2d (explicitly notes the bound exceeds 1 and is therefore useless - a deliberate trap); 2023spA Q2e; 2021spB Q6,Critical,Examinable,
F36 Convergence in probability (weak law) proved by hand,Limit theorems,'show that X_n converges weakly / in probability to L'; a reminder of the definition is given,"lim P(|X_n - L|>ε)=0, proved","Triangle inequality to split |X_n - L| ≤ |X_n - E X_n| + |E X_n - L|, then Chebyshev on the first part and a limit on the second",F35,Applying Chebyshev directly to |X_n - L| when E X_n ≠ L; forgetting that Var → 0 is what does the work,"T12; Raviv §19.1.2, §19.2","2023spA Q2e (full template with the triangle-inequality split); 2023spB Q2e (two routes: continuity+WLLN, or Chebyshev); 2021spA Q6d; 2021spA Q7c",Critical,Examinable — PARTIALLY,Convergence IN PROBABILITY (weak) is examinable. ALMOST-SURE convergence and the strong law are EXCLUDED
F37 Central limit theorem - numeric approximation,Limit theorems,"'using the CLT, the probability … is approximately'; large n; Φ values supplied",A number obtained from Φ(b) - Φ(a),Standardise: (S_n - nμ)/(σ√n); read Φ from the table,F27,Standardising with σ instead of σ√n; forgetting the continuity correction is not required here; using the CLT on a sum whose variance you computed wrongly,T12 (CLT ×4); Raviv §19.4,"2021spB Q6b,c; 2021spA Q3 (goal difference over 300 matches); 2019spB Q4; 2018wA Q9; 2018wB Q2; 8598-sol Q10",High,Examinable,
F38 Check whether a proposed object is a valid distribution,Validity checks,'is f a density?'; a candidate PMF with a parameter,Yes/no with the failing axiom identified,Non-negativity + total mass 1 (+ σ-additivity for measures),F16,Checking only the integral and not non-negativity; not checking the support,"T1 (probability measure axioms); T8; Raviv §1.1, §2, §11",Used implicitly as a self-check throughout; explicitly in Raviv §1.1 examples,Moderate,Examinable,
F39 Self-referential / recursive probability equations,Conditional probability,"A game that returns to its initial state; 'in any other case, continue to another round'",An equation P(A)=…+c·P(A) solved for P(A),Condition on the first round; identify the state that reproduces the original problem,F06,Not noticing the recursion and summing an infinite series unnecessarily; forgetting the 'no winner' absorbing case,T2; Raviv §1.3,2023spA Q1e (P(A) = 1/8·P(A) + … ⇒ 5/7 - the cleanest example in the folder); 2019spB Q3 (clown on a ladder),High,Examinable,
F40 Recurrence relations for moments (integration by parts),Expectation / normal,'express E(Z^n) via E(Z^{n-2})'; hint 'integration by parts',A recursion plus an explicit closed form (double factorial),"u = z^{n-1}, v' = z φ(z); boundary terms vanish",F17,Losing the boundary term; not treating odd n separately (it is 0 by symmetry); forgetting E|Z|^n differs from E Z^n,Raviv §9.8 (moments); T9,"2024wA Q2a-d (the full development: odd moments 0 by symmetry, E Z⁴=3, the recursion, and E|Z|^n)",High,Examinable,"Direct integration by parts on the normal density. Does NOT use MGFs, so unaffected by the exclusion"
F41 Odd/even symmetry to kill an integral,Expectation,E(g(Z)) where g is odd and the density is even,"'= 0, because the integrand is odd and the integral converges'","State that f_Z is even, z^k f_Z is odd, and the integral is finite",F17,Claiming 0 without checking that the integral converges (Louidor's solution explicitly says 'since the integral exists and is finite'),Raviv §9.3,2024wA Q2a ('רמז: ניתן לפתור באופן מיידי'),Moderate,Examinable,
F42 Reuse an earlier subpart's result,Exam technique,"'you may use the final answer of one subpart in another, even if you did not solve it'",An explicit citation: 'by (ד)…',Scan the whole question before starting; look for the quantity the next part needs,none,Re-deriving from scratch and running out of time; using a result you mis-derived without sanity-checking it,N/A (exam instruction),"Stated verbatim in the instructions of 2024wA (rule 6), 2024wB, 2023spA, 2023spB. Used in 2024wA Q2e (needs E|Z|^n from Q2d); 2023spA Q2e (needs Var from Q2c); 2024wB Q3e (needs Q3b)",Critical,Examinable,
F43 Multinomial distribution and its conditional structure,Discrete distributions,"One trial with more than two outcomes, repeated","Multi(n, p_1,…,p_k); marginals are binomial",Recognise the multinomial; condition on the total when the total is random,"F11, F31","Assuming multinomial counts are independent (they are NOT, unless the total is Poisson)",T5 (multinomial ×12 - heavily drilled); Raviv §6.2,2021spB Q4 ('דרך ב'' works via Multi conditioned on N); 2018wA Q(multinomial); 2019spB Q9,Moderate,Examinable,"DOWNGRADED from High: its main exam role was as the fallback route inside Poisson-splitting questions, which are now excluded"
F44 Geometric-sum / infinite-series manipulation inside a probability,Foundations,An answer that is an infinite sum over rounds/trials,A closed form,Σ r^k = 1/(1-r); differentiate/integrate a geometric series when k appears,F11,Off-by-one in the starting index; forgetting |r|<1,"T3; Raviv §1.3.1 example (Nofar's raffle, uses ∫Σ t^n dt = ln 2)",2023spA Q1d (Σ (1/2)^{i-1}·(1/4)); 2021spB Q7b; Raviv §1.3.1,High,Examinable,
F45 Level of justification expected,Exam technique,Every open question,"Each step named: 'by the tower law', 'from independence', 'by Chebyshev'",Name the theorem before using it; state assumptions used,none,Writing only algebra; not simplifying (2023spB rule 12 warns that unsimplified expressions lose points),Raviv's lecture proofs model the expected style,"2024wA rule 7; 2023spB rule 12 ('אלא אם נאמר אחרת, יש לפשט ביטויים ולפתור סכומים ואינטגרלים')",Critical,Examinable,
F46 Give the distribution in ANY equivalent form,Exam technique,'when asked to find the distribution of an RV…',"PMF, density, CDF, MGF, or the name+parameters - all accepted",Pick the cheapest representation,F32,Grinding out a density when naming the distribution would have sufficed,N/A,Stated verbatim as rule 10 in 2024wA and rule 11 in 2023spB,High,Examinable — PARTIALLY,"A distribution may still be given as a PMF, density, CDF, or name+parameters. The MGF option is no longer available"
F47 Complete the square inside a normal integral,Continuous RVs / normal,An integral of the form exp(-(ax^2+bx+c)/2) arising from a marginal or a conditional density of a normal-on-normal model,"A recognisable normal density, so the remaining integral equals 1 and only the prefactor survives",Rewrite the exponent as -(x-m)^2/(2s^2) + constant; pull the constant out; the rest integrates to 1,"F17, F20",Arithmetic slips in the completion; forgetting the Jacobian-like constant when the coefficient of x^2 is not 1; not recognising the leftover prefactor as the answer's density,"T9 (normal distribution); T10, T11; Raviv §12, §14.2","2023spB Q4b (marginal of Y1 comes out N(0,2)); 2023spB Q4c (conditional of X given Y1 comes out N(y/2, 1/2))",High,Examinable,NEW: this is the load-bearing technique of the replacement Core question and was not isolated in the pre-announcement inventory
F48 Conditional independence given a latent variable,Conditional distributions,"Several observations that are independent GIVEN an unobserved parameter, but dependent unconditionally; 'independently of the other bolts the machine produced'","A statement of the form E(Y2 | Y1=y, X=x) = E(Y2 | X=x), then smoothing over the posterior of X","Condition on the latent variable to restore independence, then apply the conditional smoothing formula","F05, F28, F21","Treating the observations as unconditionally independent; forgetting that the second smoothing step averages over the POSTERIOR of X, not its prior","T11; Raviv §15, §17.3","2023spB Q4e (E(Y2|Y1=y) = E(X|Y1=y) = y/2, proved via conditional independence)",High,Examinable,NEW: isolated while validating the replacement Core question
